Insee_new;nb_insee_old;Abonnement_apic;Abonnement_apoc;Abonnements_impactes;com_principale_abo_APIC;nb_com_suppr_abo_APIC;com_principale_abo_VF;nb_com_suppr_abo_VF
01015;2;0;0;0;0;0;0;0
50025;2;0;0;0;0;0;0;0
49377;2;2;0;2;1;1;0;0
49323;2;0;0;0;0;0;0;0
49298;2;0;0;0;0;0;0;0
49292;2;0;0;0;0;0;0;0
49194;2;0;0;0;0;0;0;0
49176;2;0;0;0;0;0;0;0
49174;2;1;0;1;1;0;0;0
49167;2;2;0;2;1;1;0;0
49160;2;0;0;0;0;0;0;0
49067;2;0;0;0;0;0;0;0
49029;2;0;0;0;0;0;0;0
49021;2;0;0;1;0;0;0;0
48166;2;2;1;2;1;1;1;0
50090;2;1;0;2;1;0;0;0
48152;2;1;0;1;1;0;0;0
48126;2;0;0;3;0;0;0;0
48105;2;1;0;0;0;1;0;0
48099;2;1;1;0;0;1;0;1
48087;2;0;0;0;0;0;0;0
48061;2;2;0;4;1;1;0;0
48050;2;2;1;2;1;1;1;0
48038;2;0;0;0;0;0;0;0
48017;2;1;0;0;1;0;0;0
46268;2;2;0;3;1;1;0;0
46252;2;0;0;0;0;0;0;0
46232;2;1;0;3;1;0;0;0
91390;2;0;0;0;0;0;0;0
46103;2;2;0;2;1;1;0;0
46083;2;2;0;3;1;1;0;0
48139;2;2;1;2;1;1;0;1
50095;2;0;0;0;0;0;0;0
50115;2;0;0;0;0;0;0;0
50168;2;1;1;1;1;0;1;0
55150;2;0;0;0;0;0;0;0
54557;2;0;0;0;0;0;0;0
53255;2;0;0;0;0;0;0;0
53228;2;0;0;0;0;0;0;0
53185;2;0;0;0;0;0;0;0
53137;2;0;0;0;0;0;0;0
53136;2;1;0;1;0;1;0;0
53124;2;0;0;0;0;0;0;0
53104;2;0;0;0;0;0;0;0
53017;2;0;0;0;0;0;0;0
52529;2;1;0;1;1;0;0;0
52449;2;1;0;2;0;1;0;0
52187;2;0;0;0;0;0;0;0
52140;2;0;0;0;0;0;0;0
51564;2;1;0;1;0;1;0;0
51171;2;0;0;0;0;0;0;0
51075;2;0;0;0;0;0;0;0
50209;2;0;0;0;0;0;0;0
50239;2;0;0;0;0;0;0;0
50267;2;1;0;1;1;0;0;0
50292;2;0;0;0;0;0;0;0
50388;2;0;0;0;0;0;0;0
50393;2;0;0;0;0;0;0;0
46063;2;0;0;1;0;0;0;0
50409;2;2;0;2;1;1;0;0
50436;2;0;0;0;0;0;0;0
50444;2;1;0;1;1;0;0;0
50564;2;0;0;1;0;0;0;0
50582;2;0;0;0;0;0;0;0
50597;2;0;0;0;0;0;0;0
50639;2;0;0;0;0;0;0;0
50417;2;0;0;0;0;0;0;0
55537;2;0;0;0;0;0;0;0
45129;2;2;1;2;1;1;1;0
44163;2;1;0;2;0;1;0;0
38292;2;1;0;1;1;0;0;0
38284;2;0;0;0;0;0;0;0
