Insee_old;Insee_new;Abonnement_apic;Abonnement_apoc;Abonnements_impactes
01340;01015;;;
01015;01015;;;
01025;01025;;;
01144;01025;;;
01033;01033;;;
01091;01033;;;
01205;01033;;;
01221;01036;;;
01442;01036;;;
01414;01036;;;
01036;01036;;;01034
01119;01080;;;
01080;01080;;;
01095;01095;;;
01172;01095;;;
01098;01098;01098;;01098
01316;01098;;;
01130;01130;01130;01130;01130,01266
01154;01130;;;
01185;01185;01185;;01185
01186;01185;;;
01417;01185;;;
01122;01185;;;
01292;01187;;;
01409;01187;;;
01187;01187;;;
01176;01187;;;01034
01300;01204;;;
01204;01204;;;
01413;01215;;;
01215;01215;;;
01341;01227;;;
01227;01227;;;
01271;01286;;;
01286;01286;;;01034
01338;01338;;;01034
01182;01338;01182;;01182
01312;01426;;;
01426;01426;;;
01453;01453;01453;;01453
01218;01453;;;
01059;01453;;;
01097;01453;;;
02301;02018;;;
02434;02018;;;
02018;02018;;;
02053;02053;;;
02669;02053;;;
02161;02053;;;
02733;02153;;;
02153;02153;;;
02475;02360;;;
02360;02360;;;08039
02597;02439;;;
02771;02439;;;
02439;02439;;;
02348;02439;;;
02646;02439;;;
02479;02439;;;
02811;02439;;;
02325;02458;;;02664
02458;02458;;;02281
02147;02458;;;
02026;02458;;;
03123;03158;;;
03158;03158;;;
03153;03158;;;
03318;03168;;;
03168;03168;03168;;03168
04033;04033;;;
04198;04033;;;
04100;04120;;;
04120;04120;;;
05120;05001;;;
05001;05001;;;
05150;05024;;;
05024;05024;;;
05088;05024;;;
05039;05039;;;
05141;05039;;;
05043;05039;;;
05143;05053;05143;05143;05143
05069;05053;05069,05070,05073,05097,05165,05166,05172;05069;05069,05070,05097
05053;05053;05053;05053;05053,05070
05175;05101;;;
05101;05101;;;
05005;05118;;;05118,05155
05034;05118;05034;05034;05034
05118;05118;04027,04123,04139,04209,05005,05014,05047,05118,05155;05118;05118
05132;05132;;;
05020;05132;;;
05067;05132;;;
05138;05139;;;
05002;05139;;;
05042;05139;;;
05139;05139;;;
07016;07011;;;07331
07011;07011;07011;;07011
07103;07103;07103;;07103
07252;07103;;;
07256;07165;07256;;07256,07303
07165;07165;07165;;07165
07135;07262;;;
07262;07262;;;
08053;08053;;;
08475;08053;;;
08371;08053;;;
08114;08115;;;
08115;08115;;;
08261;08116;;;08116
08007;08116;;;08116
08116;08116;08007,08116,08261;;08116
08267;08145;08145;;
08145;08145;08145;;08145,08267
08042;08173;;;
08079;08173;;;
08173;08173;;;
08152;08173;;;
08198;08198;08198;;08198
08441;08198;;;
08311;08311;;;
08009;08311;;;
08490;08490;;;60368
08443;08490;;;
08493;08490;;;
08491;08491;08491;08491;08491
08072;08491;;;
09317;09062;;;
09062;09062;;;
09296;09296;09296;;09064,09296
09028;09296;;;
09334;09334;;;
09135;09334;;;
09286;09334;09286;;09286
09302;09334;;;
10003;10003;;;
10277;10003;;;
10415;10003;;;
11080;11080;;;
11171;11080;;;
11131;11131;11131,11329;11131;11131
11329;11131;;;11131
11251;11251;;;
11298;11251;;;
11050;11304;;;
11304;11304;11304;;11129,11304
11323;11323;11323;;11323
11097;11323;;;
12021;12021;;;
12285;12021;;;
12245;12021;;;
12076;12076;12076;;12076
12218;12076;12218;;12218
12173;12076;;;
12114;12076;;;
12090;12090;;;
12020;12090;;;
12271;12120;;;
12120;12120;;;
12177;12177;;;
12081;12177;;;
12087;12177;;;
12005;12223;;;
12117;12223;;;
12112;12223;;;
12223;12223;;;
12304;12223;;;
12279;12223;;;
12224;12224;;;
12014;12224;;;
12123;12270;;;
12196;12270;;;
12270;12270;12270;;12200,12270
12126;12270;;;
12040;12270;;;
14005;14005;;;
14268;14005;14268;;14268
14517;14005;;;
14074;14005;;;
14176;14005;;;
14581;14011;;;
14011;14011;;;
14376;14011;;;
14695;14011;;;
14170;14014;;;
14014;14014;;;
14056;14027;;;
14128;14027;;;
